MAS: Financial Database - Exchange Rates

Exchange Rates (Daily)
Jan 2013 to Apr 2026


End of Period,,,S$ Per Unit of Euro,S$ Per Unit of Pound Sterling,S$ Per Unit of US Dollar,S$ Per 100 Units of Australian Dollar,S$ Per 100 Units of Canadian Dollar,S$ Per 100 Units of Chinese Renminbi,S$ Per 100 Units of Hong Kong Dollar,S$ Per 100 Units of Indian Rupee,S$ Per 100 Units of Indonesian Rupiah,S$ Per 100 Units of Japanese Yen,S$ Per 100 Units of Korean Won,S$ Per 100 Units of Malaysian Ringgit,S$ Per 100 Units of New Taiwan Dollar,S$ Per 100 Units of New Zealand Dollar,S$ Per 100 Units of Philippine Peso,S$ Per 100 Units of Qatar Riyal,S$ Per 100 Units of Saudi Arabia Riyal,S$ Per 100 Units of Swiss Franc,S$ Per 100 Units of Thai Baht,S$ Per 100 Units of UAE Dirham,S$ Per 100 Units of Vietnamese Dong
,,15,1.6174,1.8951,1.2372,128.97,121.47,20.00,15.94,2.2615,0.012734,1.2646,0.1099,40.68,4.1330,105.00,2.9982,33.98,32.99,133.05,4.2494,33.69,0.005928
,,16,1.6169,1.8943,1.2377,128.29,121.09,20.01,15.94,2.2720,0.012730,1.2702,0.1108,40.71,4.1386,104.86,2.9943,33.99,33.00,133.07,4.2511,33.70,0.005916
,,17,1.6253,1.8947,1.2337,127.68,120.61,19.98,15.89,2.2817,0.012706,1.2566,0.1104,40.74,4.1328,104.38,2.9875,33.89,32.90,133.63,4.2600,33.59,0.005914
,,18,1.6133,1.8851,1.2357,127.45,120.53,19.99,15.92,2.2835,0.012711,1.2572,0.1104,40.76,4.1362,104.45,2.9964,33.94,32.95,132.67,4.2973,33.64,0.005914
,,19,1.6143,1.8897,1.2356,127.46,120.58,20.00,15.92,2.2945,0.012727,1.2551,0.1106,40.68,4.1425,104.21,3.0038,33.94,32.95,132.65,4.3030,33.64,0.005913
,,22,1.6185,1.8856,1.2377,127.51,120.75,20.02,15.94,2.2911,0.012742,1.2398,0.1103,40.71,4.1534,104.49,3.0100,34.00,33.00,132.77,4.3216,33.70,0.005916
,,23,1.6175,1.8931,1.2407,126.86,120.76,20.09,15.98,2.2825,0.012757,1.2567,0.1106,40.62,4.1605,104.07,3.0058,34.07,33.08,132.55,4.3080,33.78,0.005931
,,24,1.6138,1.8925,1.2413,127.23,120.93,20.09,15.99,2.2881,0.012765,1.2485,0.1109,40.64,4.1686,104.74,3.0067,34.09,33.10,131.27,4.3033,33.80,0.005932
,,25,1.6170,1.8994,1.2394,127.87,121.14,20.09,15.96,2.2857,0.012755,1.2469,0.1113,40.77,4.1731,105.78,3.0021,34.04,33.05,131.04,4.2901,33.74,0.005920
,,26,1.6128,1.9118,1.2373,127.53,121.32,20.07,15.94,2.2838,0.012727,1.2477,0.1115,40.75,4.1794,105.41,3.0039,33.99,32.99,131.15,4.2279,33.69,0.005910
,,29,1.6112,1.9166,1.2347,127.42,121.62,20.03,15.90,2.2709,0.012701,1.2662,0.1115,40.74,4.1772,105.30,2.9983,33.92,32.92,131.10,4.2205,33.61,0.005925
,,30,1.6163,1.9112,1.2342,127.78,121.97,20.02,15.90,2.2803,0.012694,1.2603,0.1120,40.71,4.1881,105.66,3.0007,33.90,32.91,131.65,4.2087,33.60,0.005922
,May,02,1.6247,1.9178,1.2338,126.40,122.35,20.05,15.90,2.2976,0.012685,1.2673,0.1122,40.43,4.1774,104.79,2.9958,33.89,32.90,132.91,4.1980,33.59,0.005895
,,03,1.6142,1.9166,1.2346,126.76,122.08,20.05,15.91,2.2871,0.012674,1.2600,0.1123,40.55,4.1808,105.27,3.0164,33.91,32.92,132.10,4.1688,33.61,0.005896
,,06,1.6144,1.9167,1.2304,126.52,122.11,19.98,15.86,2.2853,0.012641,1.2418,0.1126,41.48,4.1709,105.21,3.0127,33.80,32.81,131.54,4.1617,33.50,0.005877
,,07,1.6096,1.9130,1.2306,126.11,122.25,19.98,15.86,2.2659,0.012634,1.2422,0.1125,41.46,4.1671,104.90,3.0110,33.80,32.81,131.15,4.1511,33.50,0.005878
,,08,1.6122,1.9064,1.2315,125.42,122.51,20.05,15.87,2.2753,0.012653,1.2432,0.1133,41.35,4.1829,103.34,3.0158,33.83,32.84,131.01,4.1598,33.53,0.005882
,,09,1.6172,1.9086,1.2282,125.93,122.55,20.02,15.83,2.2667,0.012623,1.2433,0.1129,41.43,4.1791,103.95,3.0140,33.74,32.75,131.51,4.1740,33.44,0.005867
,,10,1.6117,1.9088,1.2356,124.65,122.59,20.12,15.92,2.2649,0.012693,1.2235,0.1120,41.35,4.1759,103.49,3.0038,33.94,32.94,130.26,4.1666,33.64,0.005899
,,13,1.6092,1.9044,1.2412,123.76,122.56,20.19,15.99,2.2612,0.012741,1.2178,0.1112,41.32,4.1570,102.72,3.0181,34.09,33.10,129.35,4.1630,33.79,0.005927
,,14,1.6118,1.8974,1.2391,123.56,122.66,20.17,15.97,2.2622,0.012721,1.2191,0.1116,41.45,4.1542,102.60,3.0064,34.03,33.04,129.90,4.1819,33.74,0.005917
,,15,1.6068,1.8917,1.2423,122.95,121.88,20.21,16.01,2.2672,0.012745,1.2161,0.1116,41.42,4.1607,102.10,3.0208,34.12,33.13,128.59,4.1814,33.82,0.005933
,,16,1.6041,1.8974,1.2465,123.19,122.69,20.27,16.06,2.2779,0.012781,1.2196,0.1118,41.48,4.1683,102.79,3.0288,34.24,33.24,128.97,4.2012,33.94,0.005950
,,17,1.6134,1.9126,1.2545,122.39,122.76,20.43,16.16,2.2861,0.012850,1.2262,0.1123,41.53,4.1856,101.66,3.0465,34.45,33.45,129.77,4.2119,34.15,0.005975
,,20,1.6110,1.9067,1.2544,122.74,122.01,20.43,16.16,2.2808,0.012856,1.2217,0.1124,41.55,4.1876,101.88,3.0443,34.45,33.45,129.40,4.2002,34.15,0.005973
,,21,1.6169,1.9134,1.2545,123.00,122.40,20.46,16.16,2.2815,0.012845,1.2237,0.1129,41.66,4.2080,102.56,3.0486,34.45,33.45,129.58,4.2211,34.15,0.005976
,,22,1.6270,1.9078,1.2592,123.25,122.60,20.53,16.22,2.2723,0.012894,1.2285,0.1132,41.73,4.2264,102.75,3.0563,34.59,33.58,129.89,4.2262,34.28,0.005996
,,23,1.6287,1.9055,1.2676,122.12,122.10,20.66,16.33,2.2723,0.012971,1.2325,0.1129,41.77,4.2330,101.71,3.0500,34.82,33.80,129.56,4.2211,34.51,0.006036
,,27,1.6344,1.9125,1.2649,121.80,122.44,20.65,16.29,2.2713,0.012910,1.2521,0.1126,41.73,4.2361,102.19,3.0381,34.74,33.73,131.30,4.2269,34.44,0.006023
,,28,1.6323,1.9087,1.2637,121.91,122.17,20.64,16.28,2.2706,0.012892,1.2414,0.1123,41.60,4.2258,102.30,3.0196,34.71,33.70,130.78,4.2236,34.41,0.006016
,,29,1.6321,1.9079,1.2694,121.37,121.95,20.72,16.35,2.2602,0.012935,1.2417,0.1123,41.51,4.2380,102.43,3.0056,34.86,33.85,130.13,4.2124,34.56,0.006042
,,30,1.6402,1.9154,1.2659,122.27,122.23,20.65,16.31,2.2541,0.012901,1.2527,0.1122,41.24,4.2239,102.50,2.9934,34.77,33.75,131.70,4.1945,34.46,0.006026
,,31,1.6444,1.9202,1.2613,121.64,122.40,20.56,16.25,2.2351,0.012870,1.2498,0.1118,40.88,4.2121,101.93,2.9814,34.64,33.63,132.17,4.1800,34.34,0.006001
,Jun,03,1.6402,1.9175,1.2603,121.30,121.58,20.55,16.23,2.2328,0.012844,1.2524,0.1117,40.81,4.2094,100.43,2.9847,34.61,33.60,131.72,4.1382,34.31,0.005999
,,04,1.6346,1.9170,1.2519,121.57,121.59,20.43,16.13,2.2148,0.012778,1.2552,0.1116,40.46,4.1867,100.70,2.9850,34.38,33.38,131.86,4.1161,34.08,0.005953
,,05,1.6352,1.9136,1.2490,120.48,120.83,20.38,16.09,2.2174,0.012735,1.2481,0.1120,40.48,4.1813,100.54,2.9823,34.30,33.30,131.90,4.0911,34.00,0.005943
,,06,1.6368,1.9252,1.2504,118.21,120.69,20.39,16.11,2.1966,0.012769,1.2607,0.1117,40.46,4.1972,99.04,2.9630,34.34,33.34,132.65,4.0883,34.04,0.005951
,,07,1.6461,1.9365,1.2416,117.84,120.85,20.24,16.00,2.1861,0.012686,1.2887,0.1119,40.24,4.1844,98.89,2.9492,34.10,33.11,133.95,4.0502,33.80,0.005908
,,10,1.6556,1.9473,1.2543,118.04,122.89,20.45,16.16,2.1807,0.012786,1.2781,0.1114,40.16,4.2068,98.31,2.9503,34.45,33.44,133.86,4.0810,34.15,0.005963
,,11,1.6724,1.9633,1.2598,118.76,123.66,20.54,16.23,2.1627,0.012819,1.2811,0.1111,40.04,4.2100,99.40,2.9155,34.60,33.59,135.17,4.0737,34.30,0.005989
,,12,1.6720,1.9650,1.2561,118.94,123.03,20.48,16.18,2.1531,0.012749,1.3039,0.1111,39.92,4.2059,99.28,2.9137,34.50,33.49,135.99,4.0363,34.20,0.005975
,,13,1.6802,1.9726,1.2578,118.85,123.17,20.49,16.20,2.1623,0.012718,1.3259,0.1108,39.91,4.2003,99.55,2.9065,34.54,33.54,137.03,4.0659,34.24,0.005984
,,14,1.6710,1.9653,1.2517,119.98,122.99,20.40,16.12,2.1688,0.012669,1.3188,0.1108,40.07,4.1897,100.86,2.9208,34.37,33.38,135.51,4.0972,34.08,0.005955
,,17,1.6714,1.9701,1.2546,120.65,123.51,20.48,16.17,2.1708,0.012695,1.3233,0.1112,40.04,4.2005,101.41,2.9218,34.45,33.45,135.78,4.0906,34.16,0.005964
,,18,1.6841,1.9802,1.2608,119.95,123.80,20.57,16.25,2.1583,0.012710,1.3290,0.1114,39.97,4.2162,100.65,2.9183,34.62,33.62,136.58,4.0995,34.33,0.005999
,,19,1.6871,1.9701,1.2598,119.37,123.26,20.55,16.24,2.1485,0.012719,1.3224,0.1114,39.84,4.2126,100.56,2.9165,34.60,33.59,136.99,4.0737,34.30,0.005990
,,20,1.6853,1.9628,1.2708,117.52,123.50,20.73,16.38,2.1244,0.012798,1.3109,0.1109,39.71,4.2423,99.80,2.9083,34.90,33.88,136.78,4.0980,34.60,0.006046
,,21,1.6884,1.9787,1.2755,117.65,122.94,20.80,16.44,2.1368,0.012838,1.3109,0.1105,39.74,4.2428,99.23,2.9068,35.03,34.01,137.83,4.0862,34.73,0.006065
,,24,1.6721,1.9635,1.2765,117.60,121.62,20.80,16.46,2.1407,0.012858,1.2953,0.1102,39.68,4.2389,98.90,2.9217,35.05,34.04,136.25,4.1032,34.75,0.006068
,,25,1.6731,1.9689,1.2758,117.54,121.37,20.75,16.45,2.1379,0.012835,1.3109,0.1098,39.72,4.2287,98.53,2.9168,35.04,34.02,136.71,4.1188,34.74,0.006065
,,26,1.6620,1.9613,1.2716,117.56,121.05,20.68,16.39,2.1245,0.012799,1.3007,0.1101,39.83,4.2260,98.24,2.9327,34.92,33.90,135.55,4.0960,34.62,0.006045
,,27,1.6527,1.9460,1.2684,118.16,121.60,20.63,16.35,2.0981,0.012770,1.2975,0.1103,39.79,4.2266,99.18,2.9290,34.83,33.82,134.74,4.0765,34.53,0.006030
,,28,1.6535,1.9320,1.2652,117.12,120.73,20.59,16.31,2.1147,0.012744,1.2797,0.1104,39.80,4.2201,98.76,2.9250,34.75,33.74,134.07,4.0590,34.45,0.005973
,Jul,01,1.6500,1.9273,1.2669,116.26,120.46,20.67,16.34,2.1359,0.012749,1.2754,0.1114,40.02,4.2255,98.44,2.9418,34.79,33.78,134.08,4.0822,34.49,0.005983
,,02,1.6542,1.9267,1.2664,116.79,120.51,20.66,16.33,2.1379,0.012746,1.2716,0.1117,39.96,4.2215,98.89,2.9230,34.78,33.77,133.97,4.0931,34.48,0.005976
,,03,1.6511,1.9283,1.2727,115.83,120.76,20.75,16.41,2.1194,0.012807,1.2635,0.1115,40.00,4.2335,98.48,2.9318,34.95,33.94,133.91,4.0929,34.65,0.005998
,,04,1.6524,1.9403,1.2713,115.92,120.98,20.75,16.40,2.1190,0.012787,1.2731,0.1116,39.92,4.2341,99.05,2.9283,34.91,33.90,134.06,4.0898,34.61,0.005993
