MAS: Financial Database - Exchange Rates

Exchange Rates (Daily)
Jan 2013 to Apr 2026


End of Period,,,S$ Per Unit of Euro,S$ Per Unit of Pound Sterling,S$ Per Unit of US Dollar,S$ Per 100 Units of Australian Dollar,S$ Per 100 Units of Canadian Dollar,S$ Per 100 Units of Chinese Renminbi,S$ Per 100 Units of Hong Kong Dollar,S$ Per 100 Units of Indian Rupee,S$ Per 100 Units of Indonesian Rupiah,S$ Per 100 Units of Japanese Yen,S$ Per 100 Units of Korean Won,S$ Per 100 Units of Malaysian Ringgit,S$ Per 100 Units of New Taiwan Dollar,S$ Per 100 Units of New Zealand Dollar,S$ Per 100 Units of Philippine Peso,S$ Per 100 Units of Qatar Riyal,S$ Per 100 Units of Saudi Arabia Riyal,S$ Per 100 Units of Swiss Franc,S$ Per 100 Units of Thai Baht,S$ Per 100 Units of UAE Dirham,S$ Per 100 Units of Vietnamese Dong
,,14,1.5803,1.7491,1.3934,96.69,102.31,19.88,17.98,1.8526,0.009654,1.3003,0.1154,32.63,4.7274,91.05,2.8110,38.26,37.15,147.91,4.4226,37.93,0.006010
,,15,1.5856,1.7486,1.3912,97.27,102.26,19.87,17.95,1.8468,0.009548,1.2967,0.1157,32.62,4.7206,91.11,2.8121,38.20,37.09,147.93,4.4130,37.87,0.006000
,,16,1.5874,1.7480,1.3919,97.30,103.05,19.89,17.95,1.8507,0.009517,1.3012,0.1155,32.62,4.7207,91.32,2.8090,38.22,37.11,147.19,4.3935,37.89,0.006003
,,17,1.5850,1.7489,1.3913,97.24,102.48,19.87,17.95,1.8496,0.009449,1.2974,0.1155,32.59,4.7187,91.07,2.8144,38.20,37.10,147.26,4.3938,37.88,0.005999
,,20,1.5886,1.7419,1.3911,97.13,102.39,19.89,17.94,1.8568,0.009390,1.2957,0.1155,32.62,4.7162,91.09,2.8151,38.20,37.09,148.01,4.3732,37.87,0.005999
,,21,1.5911,1.7610,1.3903,97.63,102.89,19.88,17.94,1.8605,0.009411,1.2967,0.1160,32.62,4.7257,91.37,2.8190,38.18,37.07,148.13,4.3815,37.85,0.005997
,,22,1.5964,1.7602,1.3833,98.75,102.90,19.84,17.85,1.8550,0.009433,1.2949,0.1159,32.52,4.7041,91.93,2.8036,37.98,36.89,148.37,4.3866,37.66,0.005966
,,23,1.6023,1.7627,1.3840,98.89,103.27,19.76,17.85,1.8544,0.009473,1.2919,0.1155,32.54,4.7043,92.35,2.8019,38.00,36.90,149.03,4.3734,37.68,0.005970
,,24,1.6089,1.7656,1.3854,98.31,103.32,19.75,17.87,1.8493,0.009496,1.3021,0.1153,32.49,4.7012,91.84,2.8056,38.04,36.94,149.85,4.3642,37.72,0.005977
,,27,1.6150,1.7714,1.3791,98.44,103.09,19.70,17.79,1.8446,0.009471,1.3062,0.1154,32.44,4.6929,92.09,2.8052,37.88,36.77,150.35,4.3752,37.55,0.005949
,,28,1.6173,1.7729,1.3794,98.43,103.19,19.70,17.80,1.8427,0.009498,1.3067,0.1150,32.48,4.7101,91.87,2.8031,37.88,36.78,149.60,4.3749,37.55,0.005951
,,29,1.6163,1.7808,1.3780,98.77,103.08,19.68,17.78,1.8409,0.009451,1.3117,0.1153,32.43,4.7000,91.75,2.8000,37.84,36.74,150.22,4.3711,37.52,0.005945
,,30,1.6195,1.7856,1.3752,98.73,103.07,19.65,17.74,1.8378,0.009412,1.3092,0.1154,32.41,4.6941,91.45,2.8024,37.76,36.66,150.72,4.3822,37.44,0.005933
,Aug,03,1.6198,1.8012,1.3760,98.18,102.63,19.73,17.75,1.8374,0.009402,1.3001,0.1153,32.53,4.6860,91.24,2.8023,37.79,36.69,150.38,4.4059,37.46,0.005937
,,04,1.6193,1.7992,1.3760,98.06,102.75,19.71,17.75,1.8302,0.009378,1.2967,0.1153,32.63,4.6793,91.08,2.8019,37.79,36.69,149.86,4.4209,37.46,0.005937
,,05,1.6202,1.7950,1.3713,98.58,103.19,19.71,17.69,1.8297,0.009405,1.2986,0.1153,32.65,4.6719,91.16,2.7957,37.66,36.56,150.27,4.4228,37.33,0.005917
,,06,1.6263,1.7986,1.3696,98.58,103.25,19.73,17.67,1.8304,0.009388,1.2979,0.1156,32.71,4.6683,90.90,2.7917,37.62,36.52,150.79,4.4074,37.29,0.005910
,,07,1.6229,1.7981,1.3724,98.79,102.66,19.69,17.71,1.8279,0.009377,1.2995,0.1155,32.69,4.6698,91.47,2.7952,37.69,36.59,150.30,4.3957,37.36,0.005921
,,11,1.6125,1.7961,1.3726,98.54,102.99,19.75,17.71,1.8337,0.009332,1.2944,0.1159,32.69,4.6672,90.87,2.8035,37.70,36.60,149.98,4.4119,37.37,0.005923
,,12,1.6116,1.7912,1.3751,97.90,103.09,19.78,17.74,1.8427,0.009319,1.2880,0.1159,32.75,4.6723,90.05,2.8087,37.77,36.67,149.58,4.4150,37.44,0.005933
,,13,1.6192,1.7906,1.3714,98.32,103.60,19.76,17.69,1.8324,0.009272,1.2851,0.1159,32.73,4.6630,90.10,2.8044,37.66,36.57,150.52,4.4159,37.33,0.005917
,,14,1.6217,1.7929,1.3733,98.10,103.81,19.77,17.72,1.8342,0.009251,1.2843,0.1158,32.68,4.6671,89.65,2.8150,37.71,36.62,150.77,4.4206,37.39,0.005926
,,17,1.6245,1.7942,1.3697,98.39,103.36,19.73,17.67,1.8305,0.009258,1.2859,0.1156,32.71,4.6554,89.48,2.8148,37.61,36.52,150.66,4.3950,37.29,0.005910
,,18,1.6257,1.7955,1.3676,98.72,103.67,19.73,17.65,1.8291,0.009200,1.2945,0.1154,32.65,4.6501,89.49,2.8124,37.56,36.46,151.04,4.3839,37.23,0.005901
,,19,1.6289,1.8075,1.3654,98.80,103.71,19.72,17.62,1.8286,0.009238,1.2933,0.1154,32.64,4.6453,90.15,2.8117,37.27,36.40,151.05,4.3768,37.17,0.005891
,,20,1.6224,1.7948,1.3694,98.37,103.62,19.78,17.67,1.8263,0.009271,1.2915,0.1154,32.82,4.6570,89.92,2.8142,37.38,36.51,149.75,4.3653,37.28,0.005909
,,21,1.6226,1.8084,1.3667,98.38,103.81,19.78,17.63,1.8225,0.009252,1.2933,0.1152,32.72,4.6510,89.32,2.8115,37.26,36.44,150.66,4.3413,37.21,0.005897
,,24,1.6175,1.7955,1.3723,98.34,104.18,19.83,17.71,1.8316,0.009274,1.2967,0.1153,32.83,4.6704,89.57,2.8202,37.68,36.59,150.33,4.3439,37.36,0.005920
,,25,1.6166,1.7943,1.3692,98.22,103.52,19.81,17.67,1.8470,0.009354,1.2920,0.1155,32.82,4.6606,89.41,2.8233,37.60,36.50,150.22,4.3534,37.27,0.005908
,,26,1.6175,1.7976,1.3685,98.40,103.86,19.82,17.66,1.8416,0.009332,1.2856,0.1153,32.82,4.6621,89.64,2.8200,37.58,36.49,150.53,4.3666,37.26,0.005905
,,27,1.6161,1.8041,1.3656,98.81,103.88,19.84,17.62,1.8376,0.009285,1.2885,0.1151,32.74,4.6514,90.52,2.8064,37.50,36.41,150.43,4.3671,37.18,0.005893
,,28,1.6180,1.8071,1.3641,99.42,104.10,19.83,17.60,1.8479,0.009287,1.2764,0.1152,32.68,4.6442,90.91,2.8157,37.46,36.37,150.46,4.3699,37.14,0.005886
,,31,1.6175,1.8137,1.3579,100.03,103.87,19.83,17.52,1.8564,0.009339,1.2869,0.1148,32.60,4.6244,91.52,2.8056,37.29,36.21,150.23,4.3768,36.97,0.005859
,Sep,01,1.6269,1.8195,1.3570,100.48,104.30,19.89,17.51,1.8523,0.009297,1.2841,0.1147,32.72,4.6240,91.72,2.7993,37.26,36.18,150.59,4.3801,36.94,0.005855
,,02,1.6205,1.8215,1.3615,100.10,104.19,19.93,17.57,1.8634,0.009196,1.2838,0.1147,32.81,4.6371,92.18,2.8017,37.39,36.30,149.48,4.3596,37.07,0.005875
,,03,1.6107,1.8157,1.3625,99.71,104.27,19.95,17.58,1.8613,0.009215,1.2822,0.1148,32.89,4.6422,92.08,2.8077,37.41,36.33,149.39,4.3503,37.09,0.005879
,,04,1.6173,1.8126,1.3653,99.25,103.99,19.95,17.62,1.8585,0.009231,1.2857,0.1146,32.92,4.6508,91.49,2.8094,37.49,36.40,150.04,4.3445,37.17,0.005891
,,07,1.6156,1.8076,1.3650,99.46,104.34,19.99,17.61,1.8624,0.009260,1.2842,0.1150,32.90,4.6530,91.57,2.8068,37.49,36.39,149.34,4.3546,37.16,0.005890
,,08,1.6153,1.7982,1.3679,99.55,104.34,20.01,17.65,1.8624,0.009245,1.2868,0.1151,32.83,4.6719,91.45,2.8122,37.57,36.47,149.04,4.3507,37.24,0.005902
,,09,1.6156,1.7778,1.3714,99.01,103.58,20.02,17.69,1.8597,0.009238,1.2944,0.1153,32.86,4.6770,90.83,2.8218,37.67,36.56,149.41,4.3696,37.34,0.005917
,,10,1.6166,1.7768,1.3676,99.39,103.97,20.00,17.64,1.8624,0.009214,1.2889,0.1153,32.83,4.6700,91.38,2.8155,37.56,36.46,150.07,4.3706,37.23,0.005900
,,11,1.6184,1.7541,1.3677,99.50,103.81,20.00,17.65,1.8607,0.009150,1.2882,0.1151,32.90,4.6700,91.10,2.8181,37.56,36.46,150.33,4.3702,37.23,0.005901
,,14,1.6186,1.7515,1.3662,99.47,103.78,20.00,17.63,1.8592,0.009154,1.2878,0.1154,32.93,4.6677,91.46,2.8155,37.51,36.42,150.34,4.3682,37.19,0.005895
,,15,1.6185,1.7502,1.3613,99.61,103.50,20.06,17.57,1.8550,0.009165,1.2880,0.1153,32.93,4.6585,91.42,2.8114,37.39,36.29,150.11,4.3596,37.06,0.005874
,,16,1.6111,1.7548,1.3600,99.51,103.23,20.08,17.55,1.8468,0.009176,1.2917,0.1156,32.92,4.6588,91.48,2.8110,37.35,36.26,149.79,4.3616,37.02,0.005868
,,17,1.6018,1.7598,1.3628,98.98,102.99,20.11,17.58,1.8529,0.009181,1.2974,0.1158,32.86,4.6740,91.13,2.8098,37.43,36.33,149.23,4.3608,37.10,0.005879
,,18,1.6072,1.7574,1.3563,99.32,103.05,20.07,17.50,1.8454,0.009208,1.2939,0.1167,32.86,4.6685,92.01,2.8029,37.25,36.16,149.31,4.3527,36.92,0.005851
,,21,1.6079,1.7555,1.3549,99.15,102.83,20.05,17.48,1.8425,0.009221,1.2992,0.1167,32.96,4.6993,91.78,2.7997,37.21,36.12,148.91,4.3691,36.89,0.005846
,,22,1.6030,1.7464,1.3623,98.37,102.38,20.08,17.58,1.8514,0.009231,1.3034,0.1170,32.93,4.6964,90.94,2.8111,37.41,36.32,148.94,4.3439,37.09,0.005877
,,23,1.5961,1.7385,1.3665,97.40,102.57,20.11,17.63,1.8591,0.009211,1.2999,0.1173,33.00,4.6973,90.41,2.8168,37.52,36.43,148.36,4.3395,37.20,0.005894
,,24,1.6025,1.7478,1.3747,96.91,102.59,20.17,17.74,1.8682,0.009236,1.3038,0.1175,33.02,4.7040,89.87,2.8304,37.75,36.65,148.91,4.3508,37.42,0.005929
,,25,1.6044,1.7535,1.3757,97.11,103.03,20.18,17.75,1.8613,0.009236,1.3050,0.1175,33.01,4.7005,90.17,2.8388,37.77,36.68,148.40,4.3658,37.45,0.005931
,,28,1.6007,1.7572,1.3757,97.09,102.82,20.17,17.75,1.8669,0.009233,1.3057,0.1172,33.01,4.7231,90.26,2.8397,37.78,36.68,148.15,4.3382,37.45,0.005932
,,29,1.6008,1.7631,1.3713,97.14,102.49,20.10,17.69,1.8590,0.009210,1.3000,0.1173,32.93,4.7234,90.04,2.8299,37.65,36.56,148.44,4.3259,37.33,0.005915
,,30,1.6059,1.7576,1.3692,97.39,102.11,20.10,17.67,1.8562,0.009194,1.2965,0.1170,32.92,4.7237,90.18,2.8282,37.60,36.50,148.59,4.3204,37.27,0.005906
,Oct,01,1.6010,1.7636,1.3634,97.86,102.55,20.08,17.59,1.8531,0.009182,1.2927,0.1171,32.87,4.7175,90.38,2.8113,37.44,36.35,148.25,4.3151,37.12,0.005879
,,02,1.6000,1.7567,1.3658,97.78,102.71,20.11,17.62,1.8648,0.009182,1.2927,0.1172,32.83,4.7220,90.66,2.8185,37.51,36.41,148.29,4.3186,37.18,0.005889
,,05,1.5978,1.7627,1.3625,97.80,102.61,20.06,17.58,1.8589,0.009184,1.2910,0.1172,32.76,4.7168,90.52,2.8127,37.41,36.32,148.58,4.3225,37.09,0.005872
,,06,1.6027,1.7653,1.3592,97.73,102.55,20.01,17.54,1.8567,0.009226,1.2863,0.1171,32.75,4.7309,90.36,2.8089,37.33,36.24,148.57,4.3472,37.00,0.005857
,,07,1.5974,1.7545,1.3619,96.93,102.25,20.06,17.57,1.8517,0.009243,1.2885,0.1172,32.74,4.7364,89.74,2.8102,37.40,36.31,148.31,4.3463,37.08,0.005869
,,08,1.5997,1.7574,1.3592,97.06,102.52,20.01,17.54,1.8532,0.009230,1.2824,0.1175,32.71,4.7341,89.34,2.8092,37.33,36.23,148.22,4.3528,37.00,0.005860
,,09,1.5975,1.7573,1.3565,97.40,102.91,20.21,17.50,1.8538,0.009229,1.2815,0.1183,32.71,4.7392,89.63,2.8084,37.25,36.16,148.15,4.3567,36.93,0.005845
,,12,1.6002,1.7650,1.3543,97.91,103.12,20.15,17.47,1.8548,0.009199,1.2837,0.1179,32.72,4.7315,90.24,2.8000,37.19,36.10,148.70,4.3559,36.87,0.005843
,,13,1.6032,1.7729,1.3593,97.53,103.52,20.13,17.54,1.8520,0.009218,1.2895,0.1182,32.71,4.7410,90.31,2.7991,37.33,36.24,149.38,4.3524,37.01,0.005864
,,14,1.5959,1.7578,1.3590,97.44,103.42,20.16,17.53,1.8517,0.009227,1.2888,0.1188,32.78,4.7383,90.52,2.7962,37.32,36.23,148.51,4.3605,37.00,0.005863
,,15,1.5951,1.7666,1.3577,96.81,103.24,20.19,17.52,1.8515,0.009228,1.2896,0.1187,32.73,4.7260,90.23,2.7904,37.29,36.19,148.67,4.3549,36.96,0.005858
,,16,1.5929,1.7551,1.3612,96.34,102.85,20.25,17.56,1.8537,0.009247,1.2933,0.1187,32.76,4.7290,89.75,2.7983,37.38,36.29,148.74,4.3578,37.06,0.005873
,,19,1.5894,1.7552,1.3577,96.21,102.95,20.26,17.52,1.8500,0.009221,1.2877,0.1188,32.74,4.7208,89.79,2.7922,37.29,36.19,148.27,4.3459,36.96,0.005858
,,20,1.5982,1.7576,1.3572,95.65,102.93,20.30,17.51,1.8504,0.009227,1.2858,0.1192,32.74,4.7264,89.36,2.7937,37.27,36.19,149.16,4.3457,36.95,0.005855
,,21,1.6059,1.7593,1.3556,95.97,103.52,20.36,17.49,1.8467,0.009261,1.2871,0.1197,32.70,4.7289,89.60,2.7898,37.22,36.14,149.59,4.3405,36.90,0.005848
,,22,1.6064,1.7803,1.3564,96.17,102.97,20.35,17.50,1.8403,0.009245,1.2952,0.1195,32.69,4.7309,90.16,2.7920,37.25,36.17,149.58,4.3322,36.93,0.005852
,,23,1.6033,1.7754,1.3589,96.66,103.35,20.33,17.53,1.8445,0.009253,1.2975,0.1198,32.77,4.7414,90.54,2.7989,37.31,36.23,149.74,4.3414,36.99,0.005863
,,26,1.6087,1.7704,1.3594,96.70,103.32,20.33,17.54,1.8423,0.009268,1.2963,0.1204,32.64,4.7516,90.83,2.8138,37.33,36.25,150.20,4.3388,37.01,0.005865
,,27,1.6073,1.7723,1.3596,96.97,103.14,20.28,17.54,1.8380,0.009271,1.2983,0.1206,32.64,4.7545,90.96,2.8069,37.34,36.25,149.92,4.3486,37.01,0.005867
,,28,1.6012,1.7720,1.3595,97.05,103.06,20.26,17.54,1.8439,0.009296,1.3035,0.1204,32.64,4.7570,91.09,2.8103,37.33,36.25,149.58,4.3658,37.01,0.005866
,,29,1.6020,1.7724,1.3632,96.33,102.57,20.31,17.58,1.8399,0.009321,1.3049,0.1202,32.80,4.7681,90.64,2.8164,37.43,36.35,149.85,4.3635,37.11,0.005881
,,30,1.5943,1.7637,1.3637,96.15,102.56,20.41,17.59,1.8366,0.009324,1.3061,0.1210,32.80,4.7713,90.49,2.8177,37.45,36.36,149.20,4.3728,37.12,0.005882
,Nov,02,1.5913,1.7671,1.3672,95.86,102.50,20.44,17.63,1.8335,0.009318,1.3061,0.1205,32.90,4.7814,90.32,2.8203,37.54,36.45,149.07,4.3882,37.22,0.005899
,,03,1.5893,1.7629,1.3640,96.10,103.13,20.38,17.60,1.8345,0.009330,1.3025,0.1200,32.80,4.7669,90.49,2.8178,37.45,36.37,148.51,4.3880,37.13,0.005885
,,04,1.5919,1.7766,1.3670,97.14,103.28,20.33,17.63,1.8255,0.009406,1.3012,0.1199,32.83,4.7679,90.98,2.8247,37.54,36.45,149.21,4.3869,37.21,0.005898
,,05,1.5934,1.7594,1.3579,97.44,103.33,20.42,17.51,1.8294,0.009415,1.3022,0.1199,32.70,4.7469,91.02,2.8092,37.29,36.20,148.99,4.3738,36.97,0.005859
,,06,1.5967,1.7729,1.3503,97.96,103.16,20.36,17.42,1.8244,0.009472,1.3061,0.1200,32.59,4.7284,91.54,2.7974,37.09,36.00,149.39,4.3984,36.76,0.005826
,,09,1.5982,1.7719,1.3440,97.96,103.34,20.41,17.33,1.8191,0.009520,1.3002,0.1205,32.66,4.7083,91.58,2.7938,36.91,35.83,149.41,4.4107,36.59,0.005799
,,10,1.5926,1.7746,1.3462,97.96,103.49,20.36,17.36,1.8183,0.009600,1.2823,0.1207,32.71,4.7126,91.89,2.7892,36.97,35.89,147.59,4.4217,36.65,0.005809
,,11,1.5921,1.7861,1.3461,98.43,103.40,20.41,17.36,1.8140,0.009567,1.2810,0.1211,32.65,4.7177,92.76,2.7876,36.96,35.89,147.20,4.4484,36.65,0.005808
,,12,1.5883,1.7824,1.3490,98.14,103.17,20.39,17.40,1.8126,0.009526,1.2812,0.1211,32.63,4.7272,92.89,2.7819,37.04,35.97,147.22,4.4564,36.72,0.005821
,,13,1.5933,1.7704,1.3501,97.53,102.56,20.37,17.41,1.8081,0.009512,1.2866,0.1209,32.68,4.7320,92.06,2.7937,37.07,36.00,147.56,4.4578,36.75,0.005825
,,16,1.5949,1.7802,1.3457,98.07,102.64,20.44,17.36,1.8059,0.009533,1.2874,0.1214,32.71,4.7194,92.57,2.7927,36.96,35.88,147.57,4.4595,36.63,0.005806
,,17,1.5944,1.7778,1.3446,98.43,102.87,20.47,17.34,1.8065,0.009573,1.2865,0.1215,32.75,4.7146,92.83,2.7869,36.93,35.85,147.35,4.4566,36.60,0.005804
,,18,1.5926,1.7795,1.3427,97.88,102.49,20.48,17.32,1.8028,0.009529,1.2899,0.1214,32.76,4.7078,92.51,2.7841,36.88,35.80,147.36,4.4446,36.55,0.005795
,,19,1.5911,1.7770,1.3436,97.94,102.64,20.46,17.33,1.8085,0.009494,1.2950,0.1206,32.81,4.7103,92.76,2.7824,36.36,35.82,147.38,4.4277,36.58,0.005797
,,20,1.5955,1.7819,1.3435,97.90,102.73,20.42,17.33,1.8122,0.009466,1.2942,0.1207,32.84,4.7079,92.96,2.7838,36.89,35.82,147.62,4.4280,36.57,0.005797
,,23,1.5935,1.7875,1.3422,98.20,102.65,20.45,17.31,1.8099,0.009480,1.2936,0.1207,32.82,4.7034,93.30,2.7839,36.85,35.79,147.46,4.4303,36.54,0.005792
,,24,1.5916,1.7916,1.3438,98.33,102.99,20.41,17.33,1.8124,0.009475,1.2851,0.1209,32.82,4.7114,93.70,2.7893,36.90,35.83,147.24,4.4188,36.58,0.005804
,,25,1.5976,1.7925,1.3418,98.72,103.22,20.40,17.31,1.8130,0.009479,1.2840,0.1212,32.83,4.7056,93.71,2.7892,36.84,35.78,147.32,4.4144,36.53,0.005792
,,26,1.5962,1.7918,1.3388,98.58,102.97,20.38,17.27,1.8141,0.009481,1.2831,0.1210,32.79,4.6956,93.73,2.7838,36.76,35.69,147.57,4.4132,36.45,0.005779
,,27,1.5960,1.7896,1.3385,98.65,102.85,20.34,17.27,1.8137,0.009484,1.2877,0.1212,32.87,4.6925,93.89,2.7842,36.75,35.69,147.78,4.4195,36.44,0.005779
,,30,1.6004,1.7834,1.3373,98.80,102.95,20.31,17.25,1.8071,0.009481,1.2867,0.1211,32.86,4.6845,94.01,2.7790,36.72,35.66,147.97,4.4170,36.41,0.005778
,Dec,01,1.6014,1.7890,1.3392,98.63,103.25,20.36,17.27,1.8107,0.009478,1.2823,0.1210,32.84,4.6919,94.23,2.7836,36.78,35.71,147.60,4.4249,36.46,0.005789
,,02,1.6146,1.7938,1.3364,98.66,103.28,20.39,17.24,1.8195,0.009459,1.2802,0.1214,32.82,4.6904,94.51,2.7820,36.70,35.63,148.69,4.4213,36.38,0.005778
,,03,1.6211,1.7902,1.3372,99.08,103.49,20.39,17.25,1.8123,0.009460,1.2802,0.1219,32.83,4.6933,94.52,2.7830,36.72,35.65,149.59,4.4255,36.40,0.005780
,,04,1.6196,1.7932,1.3334,99.02,103.68,20.39,17.20,1.8051,0.009436,1.2839,0.1228,32.81,4.7200,94.09,2.7759,36.62,35.55,149.68,4.4202,36.30,0.005764
,,07,1.6190,1.7913,1.3342,99.16,104.37,20.42,17.21,1.8083,0.009455,1.2833,0.1232,32.77,4.7220,93.93,2.7760,36.64,35.57,149.79,4.4186,36.32,0.005769
,,08,1.6193,1.7857,1.3367,99.24,104.50,20.45,17.24,1.8108,0.009461,1.2849,0.1233,32.85,4.7282,94.01,2.7754,36.71,35.64,150.02,4.4363,36.39,0.005779
,,09,1.6184,1.7858,1.3352,99.21,104.33,20.45,17.22,1.8134,0.009462,1.2819,0.1233,32.82,4.7351,94.15,2.7782,36.66,35.59,150.31,4.4527,36.35,0.005773
,,10,1.6169,1.7876,1.3370,99.88,104.45,20.43,17.25,1.8145,0.009476,1.2803,0.1232,32.91,4.7348,94.08,2.7821,36.71,35.64,150.40,4.4448,36.40,0.005780
,,11,1.6215,1.7766,1.3338,100.83,104.80,20.40,17.21,1.8106,0.009463,1.2819,0.1225,32.90,4.7390,94.74,2.7743,36.62,35.56,150.58,4.4436,36.31,0.005767
,,14,1.6190,1.7785,1.3344,100.55,104.59,20.40,17.21,1.8123,0.009455,1.2831,0.1223,32.95,4.7435,94.63,2.7766,36.64,35.58,150.10,4.4375,36.33,0.005770
,,15,1.6237,1.7822,1.3361,100.43,104.66,20.39,17.24,1.8144,0.009452,1.2829,0.1220,32.87,4.7450,94.57,2.7789,36.70,35.62,150.67,4.4411,36.37,0.005777
,,16,1.6194,1.7903,1.3316,100.58,104.76,20.35,17.18,1.8116,0.009425,1.2860,0.1219,32.87,4.7326,94.62,2.7716,36.57,35.50,150.36,4.4291,36.25,0.005758
,,17,1.6212,1.7958,1.3276,100.73,104.33,20.31,17.13,1.8058,0.009401,1.2846,0.1215,32.85,4.7170,94.65,2.7624,36.46,35.39,149.99,4.4483,36.14,0.005741
,,18,1.6244,1.7950,1.3264,100.84,104.09,20.28,17.11,1.8038,0.009396,1.2826,0.1207,32.85,4.7134,94.58,2.7601,36.43,35.36,149.90,4.4531,36.11,0.005736
,,21,1.6239,1.7798,1.3328,100.92,103.70,20.35,17.19,1.8114,0.009422,1.2892,0.1211,32.94,4.7306,94.56,2.7732,36.60,35.53,150.31,4.4373,36.28,0.005763
,,22,1.6326,1.7902,1.3350,100.96,103.76,20.38,17.22,1.8033,0.009404,1.2907,0.1206,32.92,4.7384,94.29,2.7760,36.66,35.59,150.59,4.4270,36.34,0.005770
,,23,1.6276,1.7897,1.3352,100.83,103.60,20.38,17.22,1.8079,0.009386,1.2902,0.1204,32.87,4.7405,94.16,2.7781,36.67,35.59,150.42,4.4168,36.35,0.005772
,,24,1.6227,1.8011,1.3291,100.89,103.47,20.35,17.14,1.8000,0.009360,1.2837,0.1205,32.74,4.7254,94.38,2.7661,36.50,35.44,149.76,4.4025,36.18,0.005746
,,28,1.6208,1.8003,1.3271,101.03,103.28,20.32,17.12,1.8042,0.009367,1.2814,0.1210,32.74,4.7201,94.55,2.7632,36.44,35.36,149.15,4.4046,36.13,0.005736
,,29,1.6265,1.7928,1.3288,100.97,103.60,20.34,17.14,1.8083,0.009390,1.2819,0.1217,32.80,4.7226,94.63,2.7662,36.13,35.41,149.83,4.4203,36.17,0.005746
,,30,1.6271,1.7933,1.3246,101.27,103.50,20.31,17.08,1.8053,0.009407,1.2817,0.1219,32.79,4.7147,95.04,2.7573,36.37,35.30,150.09,4.4124,36.06,0.005737
,,31,1.6249,1.8005,1.3221,101.78,103.76,20.24,17.05,1.8062,0.009410,1.2814,0.1218,32.94,4.7100,95.49,2.7531,36.31,35.25,149.91,4.4171,35.99,0.005727

"* Yearly, monthly and weekly figures are end period values."
"* Daily figures are values as of noon."


End of Period,,,S$ Per Unit of Euro,S$ Per Unit of Pound Sterling,S$ Per Unit of US Dollar,S$ Per 100 Units of Australian Dollar,S$ Per 100 Units of Canadian Dollar,S$ Per 100 Units of Chinese Renminbi,S$ Per 100 Units of Hong Kong Dollar,S$ Per 100 Units of Indian Rupee,S$ Per 100 Units of Indonesian Rupiah,S$ Per 100 Units of Japanese Yen,S$ Per 100 Units of Korean Won,S$ Per 100 Units of Malaysian Ringgit,S$ Per 100 Units of New Taiwan Dollar,S$ Per 100 Units of New Zealand Dollar,S$ Per 100 Units of Philippine Peso,S$ Per 100 Units of Qatar Riyal,S$ Per 100 Units of Saudi Arabia Riyal,S$ Per 100 Units of Swiss Franc,S$ Per 100 Units of Thai Baht,S$ Per 100 Units of UAE Dirham,S$ Per 100 Units of Vietnamese Dong
2021,Jan,04,1.6145,1.8042,1.3174,101.66,103.76,20.36,16.99,1.8075,0.009502,1.2797,0.1219,32.96,4.6913,94.93,2.7432,36.18,35.13,149.06,4.4068,35.87,0.005707
,,05,1.6184,1.7917,1.3188,101.54,103.39,20.44,17.01,1.8040,0.009477,1.2799,0.1215,32.92,4.7090,95.07,2.7455,36.22,35.16,149.87,4.4135,35.90,0.005709
,,06,1.6209,1.7946,1.3194,102.24,104.02,20.43,17.02,1.8025,0.009486,1.2834,0.1213,32.87,4.7142,95.60,2.7449,36.24,35.18,150.10,4.4046,35.92,0.005714
,,07,1.6256,1.7936,1.3187,102.81,104.04,20.42,17.01,1.8039,0.009473,1.2786,0.1213,32.86,4.7144,96.16,2.7447,36.22,35.16,150.06,4.4030,35.90,0.005713
,,08,1.6252,1.7976,1.3255,102.89,104.56,20.50,17.10,1.8063,0.009461,1.2763,0.1211,32.79,4.7309,96.18,2.7575,36.21,35.34,149.66,4.4037,36.09,0.005746
,,11,1.6197,1.7970,1.3306,102.55,104.35,20.52,17.16,1.8121,0.009423,1.2773,0.1212,32.92,4.7486,95.73,2.7674,36.54,35.48,149.72,4.4124,36.22,0.005769
,,12,1.6169,1.7998,1.3311,102.47,104.13,20.57,17.17,1.8131,0.009390,1.2764,0.1209,32.78,4.7521,95.41,2.7691,36.56,35.49,149.32,4.4111,36.24,0.005771
,,13,1.6163,1.8112,1.3232,102.74,104.11,20.50,17.06,1.8084,0.009403,1.2774,0.1209,32.71,4.7218,95.64,2.7537,36.34,35.27,149.36,4.4070,36.02,0.005737
,,14,1.6119,1.8100,1.3272,102.73,104.57,20.51,17.12,1.8138,0.009416,1.2755,0.1205,32.83,4.7359,95.41,2.7615,36.45,35.39,149.40,4.4188,36.13,0.005754
,,15,1.6104,1.8136,1.3257,102.89,104.75,20.49,17.10,1.8136,0.009445,1.2775,0.1207,32.86,4.7358,95.43,2.7598,36.19,35.34,149.18,4.4218,36.09,0.005747
,,18,1.6073,1.8070,1.3314,102.42,104.24,20.53,17.17,1.8186,0.009461,1.2832,0.1205,32.90,4.7545,94.90,2.7703,36.38,35.49,149.35,4.4202,36.25,0.005772
