MAS: Financial Database - Domestic Interest Rates

Domestic Interest Rates (Daily)
Jan 2013 to Apr 2026


SORA Value Date,,,SORA Publication Date,SORA,SORA Index,Compound SORA - 1 month,Compound SORA - 3 month,Compound SORA - 6 month,Aggregate Volume of SORA Transactions (S$ MILLIONS),Highest Transacted Rate,Lowest Transacted Rate,SORA Calculation Method
,,16,17 Dec 2015,0.3600,0.9668724561,0.3788,0.3228,0.2810,-,-,-,-
,,17,18 Dec 2015,0.3339,0.9668813010,0.3709,0.3240,0.2824,-,-,-,-
,,18,21 Dec 2015,0.1877,0.9668962175,0.3575,0.3240,0.2832,-,-,-,-
,,21,22 Dec 2015,0.1435,0.9669000188,0.3521,0.3241,0.2830,-,-,-,-
,,22,23 Dec 2015,0.1908,0.9669050732,0.3482,0.3241,0.2822,-,-,-,-
,,23,24 Dec 2015,0.2532,0.9669117806,0.3412,0.3256,0.2821,-,-,-,-
,,24,28 Dec 2015,0.1939,0.9669323268,0.2928,0.3267,0.2802,-,-,-,-
,,28,29 Dec 2015,0.3021,0.9669403299,0.2796,0.3278,0.2798,-,-,-,-
,,29,30 Dec 2015,0.2059,0.9669457845,0.2631,0.3288,0.2755,-,-,-,-
,,30,31 Dec 2015,0.2688,0.9669529054,0.2633,0.3282,0.2755,-,-,-,-
,,31,04 Jan 2016,0.7159,0.9670287675,0.2987,0.3483,0.2782,-,-,-,-


SORA Value Date,,,SORA Publication Date,SORA,SORA Index,Compound SORA - 1 month,Compound SORA - 3 month,Compound SORA - 6 month,Aggregate Volume of SORA Transactions (S$ MILLIONS),Highest Transacted Rate,Lowest Transacted Rate,SORA Calculation Method
2016,Jan,04,05 Jan 2016,0.4150,0.9670397625,0.3025,0.3493,0.2790,-,-,-,-
,,05,06 Jan 2016,0.2071,0.9670452494,0.2997,0.3486,0.2786,-,-,-,-
,,06,07 Jan 2016,0.4788,0.9670579350,0.3056,0.3508,0.2799,-,-,-,-
,,07,08 Jan 2016,0.6187,0.9670743273,0.3182,0.3560,0.2824,-,-,-,-
,,08,11 Jan 2016,0.6600,0.9671267877,0.3627,0.3761,0.2925,-,-,-,-
,,11,12 Jan 2016,0.9215,0.9671512044,0.3844,0.3858,0.2972,-,-,-,-
,,12,13 Jan 2016,0.6327,0.9671679692,0.3969,0.3923,0.3004,-,-,-,-
,,13,14 Jan 2016,0.5400,0.9671822780,0.4063,0.3979,0.3030,-,-,-,-
,,14,15 Jan 2016,0.1810,0.9671870742,0.4041,0.3995,0.3033,-,-,-,-
,,15,18 Jan 2016,0.1571,0.9671995628,0.3876,0.3994,0.3013,-,-,-,-
,,18,19 Jan 2016,0.3344,0.9672084239,0.3923,0.4007,0.3014,-,-,-,-
,,19,20 Jan 2016,0.2782,0.9672157959,0.3952,0.4013,0.3012,-,-,-,-
,,20,21 Jan 2016,0.2574,0.9672226168,0.3975,0.4029,0.3011,-,-,-,-
,,21,22 Jan 2016,0.1234,0.9672258868,0.3968,0.4025,0.3006,-,-,-,-
,,22,25 Jan 2016,0.1559,0.9672382805,0.3913,0.3920,0.3005,-,-,-,-
,,25,26 Jan 2016,0.1477,0.9672421945,0.3898,0.3875,0.3002,-,-,-,-
,,26,27 Jan 2016,0.1594,0.9672464186,0.3887,0.3851,0.2999,-,-,-,-
,,27,28 Jan 2016,0.1371,0.9672500517,0.3869,0.3822,0.2992,-,-,-,-
,,28,29 Jan 2016,0.1949,0.9672552166,0.3834,0.3769,0.2989,-,-,-,-
,,29,01 Feb 2016,0.1954,0.9672707510,0.3639,0.3526,0.2983,-,-,-,-
,Feb,01,02 Feb 2016,0.1572,0.9672749168,0.3459,0.3434,0.2979,-,-,-,-
,,02,03 Feb 2016,0.2748,0.9672821992,0.3317,0.3387,0.2981,-,-,-,-
,,03,04 Feb 2016,0.2359,0.9672884508,0.3162,0.3383,0.2986,-,-,-,-
,,04,05 Feb 2016,0.2640,0.9672954471,0.3113,0.3398,0.2990,-,-,-,-
,,05,10 Feb 2016,0.3061,0.9673360072,0.2760,0.3464,0.3040,-,-,-,-
,,10,11 Feb 2016,0.1460,0.9673398766,0.2594,0.3457,0.3041,-,-,-,-
,,11,12 Feb 2016,0.0879,0.9673422061,0.2325,0.3458,0.3038,-,-,-,-
,,12,15 Feb 2016,0.1689,0.9673556350,0.2052,0.3354,0.3049,-,-,-,-
,,15,16 Feb 2016,0.1309,0.9673591042,0.2044,0.3300,0.3051,-,-,-,-
,,16,17 Feb 2016,0.2218,0.9673649826,0.2064,0.3257,0.3058,-,-,-,-
,,17,18 Feb 2016,0.3530,0.9673743382,0.2128,0.3233,0.3072,-,-,-,-
,,18,19 Feb 2016,0.3423,0.9673834103,0.2130,0.3221,0.3082,-,-,-,-
,,19,22 Feb 2016,0.2776,0.9674054825,0.2186,0.3223,0.3097,-,-,-,-
,,22,23 Feb 2016,0.3736,0.9674153845,0.2256,0.3230,0.3101,-,-,-,-
,,23,24 Feb 2016,0.3094,0.9674235850,0.2306,0.3213,0.3103,-,-,-,-
,,24,25 Feb 2016,0.3774,0.9674335879,0.2377,0.3174,0.3087,-,-,-,-
,,25,26 Feb 2016,0.3362,0.9674424989,0.2438,0.3169,0.3039,-,-,-,-
,,26,29 Feb 2016,0.3476,0.9674701386,0.2616,0.3086,0.3027,-,-,-,-
,,29,01 Mar 2016,0.5059,0.9674835480,0.2769,0.3027,0.3040,-,-,-,-
,Mar,01,02 Mar 2016,0.4915,0.9674965759,0.2884,0.3036,0.3055,-,-,-,-
,,02,03 Mar 2016,0.4329,0.9675080507,0.2939,0.3037,0.3070,-,-,-,-
,,03,04 Mar 2016,0.4150,0.9675190511,0.3001,0.3052,0.3088,-,-,-,-
,,04,07 Mar 2016,0.2754,0.9675409515,0.2983,0.3045,0.3124,-,-,-,-
,,07,08 Mar 2016,0.2912,0.9675486706,0.2978,0.3052,0.3136,-,-,-,-
,,08,09 Mar 2016,0.3696,0.9675584681,0.3000,0.3063,0.3145,-,-,-,-
,,09,10 Mar 2016,0.2949,0.9675662854,0.2996,0.3073,0.3155,-,-,-,-
,,10,11 Mar 2016,0.3274,0.9675749643,0.3059,0.3095,0.3156,-,-,-,-
,,11,14 Mar 2016,0.3000,0.9675988223,0.3222,0.3112,0.3155,-,-,-,-
,,14,15 Mar 2016,0.2973,0.9676067036,0.3267,0.3118,0.3160,-,-,-,-
,,15,16 Mar 2016,0.2826,0.9676141953,0.3319,0.3117,0.3165,-,-,-,-
,,16,17 Mar 2016,0.2754,0.9676214961,0.3337,0.3107,0.3169,-,-,-,-
,,17,18 Mar 2016,0.1751,0.9676261381,0.3276,0.3090,0.3166,-,-,-,-
,,18,21 Mar 2016,0.2330,0.9676446688,0.3208,0.3105,0.3174,-,-,-,-
,,21,22 Mar 2016,0.2849,0.9676522217,0.3210,0.3120,0.3182,-,-,-,-
,,22,23 Mar 2016,0.2591,0.9676590907,0.3171,0.3128,0.3186,-,-,-,-
,,23,24 Mar 2016,0.2309,0.9676652122,0.3144,0.3125,0.3192,-,-,-,-
,,24,28 Mar 2016,0.2752,0.9676943959,0.3037,0.3161,0.3215,-,-,-,-
,,28,29 Mar 2016,0.3018,0.9677023973,0.3022,0.3161,0.3221,-,-,-,-
,,29,30 Mar 2016,0.1692,0.9677068831,0.2977,0.3157,0.3224,-,-,-,-
,,30,31 Mar 2016,0.1035,0.9677096272,0.2915,0.3139,0.3212,-,-,-,-
,,31,01 Apr 2016,0.1332,0.9677131587,0.2794,0.3075,0.3208,-,-,-,-
,Apr,01,04 Apr 2016,0.2503,0.9677330670,0.2604,0.2921,0.3205,-,-,-,-
,,04,05 Apr 2016,0.2835,0.9677405836,0.2607,0.2907,0.3203,-,-,-,-
,,05,06 Apr 2016,0.2968,0.9677484527,0.2614,0.2917,0.3204,-,-,-,-
,,06,07 Apr 2016,0.2105,0.9677540339,0.2593,0.2887,0.3201,-,-,-,-
,,07,08 Apr 2016,0.2044,0.9677594533,0.2565,0.2842,0.3204,-,-,-,-
,,08,11 Apr 2016,0.1936,0.9677748526,0.2432,0.2688,0.3229,-,-,-,-
,,11,12 Apr 2016,0.2105,0.9677804339,0.2404,0.2610,0.3239,-,-,-,-
,,12,13 Apr 2016,0.1244,0.9677837323,0.2347,0.2554,0.3243,-,-,-,-
,,13,14 Apr 2016,0.1451,0.9677875796,0.2297,0.2510,0.3250,-,-,-,-
,,14,15 Apr 2016,0.3209,0.9677960881,0.2305,0.2526,0.3265,-,-,-,-
,,15,18 Apr 2016,0.3666,0.9678252493,0.2423,0.2595,0.3299,-,-,-,-
,,18,19 Apr 2016,0.2637,0.9678322415,0.2433,0.2587,0.3302,-,-,-,-
,,19,20 Apr 2016,0.3029,0.9678402732,0.2455,0.2590,0.3306,-,-,-,-
,,20,21 Apr 2016,0.3540,0.9678496599,0.2494,0.2600,0.3320,-,-,-,-
,,21,22 Apr 2016,0.4835,0.9678624806,0.2558,0.2640,0.3338,-,-,-,-
,,22,25 Apr 2016,0.6771,0.9679163441,0.2967,0.2812,0.3370,-,-,-,-
,,25,26 Apr 2016,0.5986,0.9679322180,0.3071,0.2861,0.3372,-,-,-,-
,,26,27 Apr 2016,0.6649,0.9679498502,0.3197,0.2917,0.3388,-,-,-,-
,,27,28 Apr 2016,0.6359,0.9679667138,0.3313,0.2972,0.3401,-,-,-,-
,,28,29 Apr 2016,0.3292,0.9679754440,0.3322,0.2987,0.3381,-,-,-,-
,,29,03 May 2016,0.4125,0.9680192018,0.3681,0.3090,0.3242,-,-,-,-
,May,03,04 May 2016,0.5060,0.9680326215,0.3766,0.3120,0.3254,-,-,-,-
,,04,05 May 2016,0.2011,0.9680379550,0.3739,0.3113,0.3259,-,-,-,-
,,05,06 May 2016,0.1426,0.9680417369,0.3687,0.3095,0.3253,-,-,-,-
,,06,09 May 2016,0.2989,0.9680655189,0.3783,0.3093,0.3276,-,-,-,-
,,09,10 May 2016,0.2913,0.9680732449,0.3816,0.3091,0.3281,-,-,-,-
,,10,11 May 2016,0.1364,0.9680768626,0.3797,0.3090,0.3277,-,-,-,-
,,11,12 May 2016,0.0599,0.9680784513,0.3747,0.3087,0.3276,-,-,-,-
,,12,13 May 2016,0.1049,0.9680812335,0.3740,0.3080,0.3270,-,-,-,-
,,13,16 May 2016,0.0950,0.9680887925,0.3558,0.3059,0.3182,-,-,-,-
,,16,17 May 2016,0.0765,0.9680908215,0.3461,0.3043,0.3152,-,-,-,-
,,17,18 May 2016,0.0805,0.9680929566,0.3365,0.3013,0.3125,-,-,-,-
,,18,19 May 2016,0.1209,0.9680961633,0.3318,0.2988,0.3107,-,-,-,-
,,19,20 May 2016,0.1827,0.9681010090,0.3278,0.2978,0.3106,-,-,-,-
,,20,23 May 2016,0.1496,0.9681129127,0.2922,0.2924,0.3080,-,-,-,-
,,23,24 May 2016,0.2659,0.9681199653,0.2785,0.2919,0.3069,-,-,-,-
,,24,25 May 2016,0.2268,0.9681259809,0.2635,0.2903,0.3041,-,-,-,-
,,25,26 May 2016,0.3290,0.9681347073,0.2545,0.2902,0.3038,-,-,-,-
,,26,27 May 2016,0.2552,0.9681414763,0.2409,0.2891,0.3030,-,-,-,-
,,27,30 May 2016,0.2290,0.9681596986,0.2178,0.2859,0.2952,-,-,-,-
,,30,31 May 2016,0.3567,0.9681691600,0.2223,0.2867,0.2955,-,-,-,-
,,31,01 Jun 2016,0.2297,0.9681752529,0.2164,0.2836,0.2932,-,-,-,-
,Jun,01,02 Jun 2016,0.2393,0.9681816004,0.2108,0.2809,0.2923,-,-,-,-
,,02,03 Jun 2016,0.1044,0.9681843697,0.2009,0.2773,0.2905,-,-,-,-
,,03,06 Jun 2016,0.1153,0.9681935449,0.1846,0.2706,0.2877,-,-,-,-
,,06,07 Jun 2016,0.1614,0.9681978261,0.1802,0.2694,0.2869,-,-,-,-
,,07,08 Jun 2016,0.0581,0.9681993673,0.1724,0.2668,0.2860,-,-,-,-
,,08,09 Jun 2016,0.0565,0.9682008660,0.1646,0.2634,0.2849,-,-,-,-
,,09,10 Jun 2016,0.0574,0.9682023886,0.1571,0.2608,0.2840,-,-,-,-
,,10,13 Jun 2016,0.1128,0.9682113650,0.1583,0.2544,0.2825,-,-,-,-
,,13,14 Jun 2016,0.0921,0.9682138081,0.1582,0.2522,0.2816,-,-,-,-
,,14,15 Jun 2016,0.0510,0.9682151610,0.1568,0.2495,0.2805,-,-,-,-
,,15,16 Jun 2016,0.0414,0.9682162592,0.1550,0.2469,0.2792,-,-,-,-
,,16,17 Jun 2016,0.0727,0.9682181876,0.1549,0.2447,0.2776,-,-,-,-
,,17,20 Jun 2016,0.0741,0.9682240845,0.1497,0.2401,0.2749,-,-,-,-
,,20,21 Jun 2016,0.0774,0.9682261376,0.1474,0.2384,0.2743,-,-,-,-
,,21,22 Jun 2016,0.0626,0.9682277982,0.1446,0.2360,0.2739,-,-,-,-
,,22,23 Jun 2016,0.0416,0.9682289017,0.1411,0.2336,0.2731,-,-,-,-
,,23,24 Jun 2016,0.0430,0.9682300424,0.1339,0.2316,0.2719,-,-,-,-
,,24,27 Jun 2016,0.0825,0.9682366078,0.1157,0.2253,0.2701,-,-,-,-
,,27,28 Jun 2016,0.0846,0.9682388520,0.1110,0.2232,0.2695,-,-,-,-
,,28,29 Jun 2016,0.0831,0.9682410564,0.1063,0.2208,0.2683,-,-,-,-
,,29,30 Jun 2016,0.1845,0.9682459506,0.1049,0.2210,0.2682,-,-,-,-
,,30,01 Jul 2016,0.4412,0.9682576545,0.1036,0.2257,0.2667,-,-,-,-
,Jul,01,04 Jul 2016,0.1478,0.9682694168,0.1030,0.2223,0.2573,-,-,-,-
,,04,05 Jul 2016,0.1342,0.9682729769,0.1037,0.2207,0.2558,-,-,-,-
,,05,07 Jul 2016,0.1090,0.9682787600,0.1017,0.2175,0.2532,-,-,-,-
,,07,08 Jul 2016,0.0847,0.9682810069,0.1026,0.2162,0.2502,-,-,-,-
,,08,11 Jul 2016,0.0717,0.9682867131,0.1022,0.2121,0.2405,-,-,-,-
,,11,12 Jul 2016,0.0566,0.9682882146,0.1003,0.2105,0.2358,-,-,-,-
,,12,13 Jul 2016,0.0640,0.9682899125,0.0987,0.2098,0.2326,-,-,-,-
,,13,14 Jul 2016,0.0563,0.9682914060,0.0975,0.2088,0.2300,-,-,-,-
,,14,15 Jul 2016,0.0750,0.9682933957,0.0983,0.2061,0.2294,-,-,-,-
,,15,18 Jul 2016,0.1187,0.9683028425,0.1039,0.1979,0.2288,-,-,-,-
,,18,19 Jul 2016,0.0727,0.9683047711,0.1039,0.1958,0.2273,-,-,-,-
,,19,20 Jul 2016,0.0557,0.9683062488,0.1032,0.1931,0.2261,-,-,-,-
,,20,21 Jul 2016,0.1572,0.9683104191,0.1059,0.1909,0.2256,-,-,-,-
,,21,22 Jul 2016,0.4879,0.9683233627,0.1201,0.1910,0.2276,-,-,-,-
,,22,25 Jul 2016,0.3511,0.9683513061,0.1496,0.1802,0.2308,-,-,-,-
,,25,26 Jul 2016,0.6345,0.9683681395,0.1680,0.1806,0.2335,-,-,-,-
,,26,27 Jul 2016,0.7764,0.9683887379,0.1912,0.1819,0.2368,-,-,-,-
,,27,28 Jul 2016,0.8879,0.9684122949,0.2179,0.1846,0.2410,-,-,-,-
,,28,29 Jul 2016,0.7445,0.9684320479,0.2400,0.1892,0.2440,-,-,-,-
,,29,01 Aug 2016,0.3713,0.9684616023,0.2480,0.1903,0.2469,-,-,-,-
,Aug,01,02 Aug 2016,0.1956,0.9684667922,0.2495,0.1879,0.2471,-,-,-,-
,,02,03 Aug 2016,0.0725,0.9684687159,0.2471,0.1842,0.2460,-,-,-,-
,,03,04 Aug 2016,0.0223,0.9684693076,0.2431,0.1790,0.2448,-,-,-,-
,,04,05 Aug 2016,0.0241,0.9684699470,0.2395,0.1770,0.2435,-,-,-,-
,,05,08 Aug 2016,0.0135,0.9684710216,0.2311,0.1694,0.2387,-,-,-,-
,,08,10 Aug 2016,0.0134,0.9684717327,0.2273,0.1633,0.2355,-,-,-,-
,,10,11 Aug 2016,0.0173,0.9684721917,0.2255,0.1620,0.2348,-,-,-,-
,,11,12 Aug 2016,0.0178,0.9684726640,0.2243,0.1616,0.2344,-,-,-,-
,,12,15 Aug 2016,0.0210,0.9684743356,0.2200,0.1590,0.2319,-,-,-,-
,,15,16 Aug 2016,0.0486,0.9684756252,0.2178,0.1585,0.2315,-,-,-,-
,,16,17 Aug 2016,0.0696,0.9684774719,0.2162,0.1585,0.2306,-,-,-,-
,,17,18 Aug 2016,0.1219,0.9684807064,0.2163,0.1589,0.2294,-,-,-,-
,,18,19 Aug 2016,0.1091,0.9684836012,0.2175,0.1588,0.2281,-,-,-,-
,,19,22 Aug 2016,0.0737,0.9684894678,0.2020,0.1559,0.2247,-,-,-,-
,,22,23 Aug 2016,0.0612,0.9684910917,0.1926,0.1550,0.2230,-,-,-,-
,,23,24 Aug 2016,0.0743,0.9684930632,0.1837,0.1529,0.2217,-,-,-,-
,,24,25 Aug 2016,0.0402,0.9684941298,0.1737,0.1509,0.2199,-,-,-,-
,,25,26 Aug 2016,0.0876,0.9684964542,0.1560,0.1482,0.2185,-,-,-,-
,,26,29 Aug 2016,0.1857,0.9685112364,0.0963,0.1465,0.2158,-,-,-,-
,,29,30 Aug 2016,0.3628,0.9685208631,0.0960,0.1480,0.2166,-,-,-,-
,,30,31 Aug 2016,0.1422,0.9685246364,0.0886,0.1457,0.2162,-,-,-,-
,,31,01 Sep 2016,0.3781,0.9685346692,0.0888,0.1473,0.2155,-,-,-,-
,Sep,01,02 Sep 2016,0.0919,0.9685371078,0.0855,0.1457,0.2133,-,-,-,-
,,02,05 Sep 2016,0.0808,0.9685435400,0.0895,0.1447,0.2086,-,-,-,-
,,05,06 Sep 2016,0.0855,0.9685458087,0.0918,0.1443,0.2075,-,-,-,-
,,06,07 Sep 2016,0.0467,0.9685470480,0.0929,0.1431,0.2063,-,-,-,-
,,07,08 Sep 2016,0.0294,0.9685478281,0.0934,0.1428,0.2049,-,-,-,-
,,08,09 Sep 2016,0.0184,0.9685483164,0.0935,0.1424,0.2029,-,-,-,-
,,09,13 Sep 2016,0.0282,0.9685513096,0.0949,0.1393,0.1969,-,-,-,-
,,13,14 Sep 2016,0.0410,0.9685523975,0.0956,0.1387,0.1955,-,-,-,-
,,14,15 Sep 2016,0.0721,0.9685543108,0.0972,0.1390,0.1943,-,-,-,-
,,15,16 Sep 2016,0.0343,0.9685552209,0.0968,0.1389,0.1929,-,-,-,-
,,16,19 Sep 2016,0.0495,0.9685591615,0.0919,0.1381,0.1900,-,-,-,-
,,19,20 Sep 2016,0.0477,0.9685604272,0.0910,0.1378,0.1890,-,-,-,-
,,20,21 Sep 2016,0.0441,0.9685615975,0.0901,0.1375,0.1880,-,-,-,-
,,21,22 Sep 2016,0.0439,0.9685627624,0.0891,0.1373,0.1867,-,-,-,-
,,22,23 Sep 2016,0.0476,0.9685640255,0.0887,0.1373,0.1855,-,-,-,-
,,23,26 Sep 2016,0.0532,0.9685682607,0.0873,0.1368,0.1821,-,-,-,-
,,26,27 Sep 2016,0.0705,0.9685701315,0.0836,0.1367,0.1810,-,-,-,-
,,27,28 Sep 2016,0.0743,0.9685721031,0.0800,0.1366,0.1799,-,-,-,-
,,28,29 Sep 2016,0.1344,0.9685756696,0.0783,0.1371,0.1790,-,-,-,-
,,29,30 Sep 2016,0.1821,0.9685805018,0.0725,0.1371,0.1791,-,-,-,-
,,30,03 Oct 2016,0.1248,0.9685904371,0.0643,0.1331,0.1781,-,-,-,-
,Oct,03,04 Oct 2016,0.0488,0.9685917321,0.0632,0.1321,0.1770,-,-,-,-
,,04,05 Oct 2016,0.0369,0.9685927113,0.0618,0.1310,0.1756,-,-,-,-
,,05,06 Oct 2016,0.0452,0.9685939107,0.0604,0.1303,0.1742,-,-,-,-
,,06,07 Oct 2016,0.0621,0.9685955587,0.0609,0.1298,0.1734,-,-,-,-
,,07,10 Oct 2016,0.1203,0.9686051358,0.0704,0.1312,0.1722,-,-,-,-
,,10,11 Oct 2016,0.0811,0.9686072880,0.0722,0.1314,0.1716,-,-,-,-
,,11,12 Oct 2016,0.1175,0.9686104061,0.0752,0.1320,0.1711,-,-,-,-
,,12,13 Oct 2016,0.1134,0.9686134154,0.0780,0.1325,0.1710,-,-,-,-
,,13,14 Oct 2016,0.0380,0.9686144239,0.0779,0.1324,0.1704,-,-,-,-
,,14,17 Oct 2016,0.0842,0.9686211272,0.0811,0.1317,0.1660,-,-,-,-
,,17,18 Oct 2016,0.0289,0.9686218941,0.0805,0.1307,0.1642,-,-,-,-
,,18,19 Oct 2016,0.0305,0.9686227035,0.0798,0.1303,0.1629,-,-,-,-
,,19,20 Oct 2016,0.0475,0.9686239641,0.0798,0.1302,0.1615,-,-,-,-
,,20,21 Oct 2016,0.0586,0.9686255192,0.0803,0.1291,0.1599,-,-,-,-
,,21,24 Oct 2016,0.1608,0.9686383210,0.0916,0.1214,0.1525,-,-,-,-
,,24,25 Oct 2016,0.1838,0.9686431986,0.0959,0.1196,0.1498,-,-,-,-
,,25,26 Oct 2016,0.0858,0.9686454756,0.0970,0.1136,0.1470,-,-,-,-
,,26,27 Oct 2016,0.0658,0.9686472218,0.0968,0.1059,0.1437,-,-,-,-
,,27,28 Oct 2016,0.0655,0.9686489601,0.0965,0.0970,0.1406,-,-,-,-
,,28,31 Oct 2016,0.0964,0.9686566350,0.0925,0.0839,0.1374,-,-,-,-
,,31,01 Nov 2016,0.0731,0.9686585749,0.0909,0.0807,0.1355,-,-,-,-
,Nov,01,02 Nov 2016,0.0734,0.9686605229,0.0892,0.0794,0.1337,-,-,-,-
,,02,03 Nov 2016,0.0796,0.9686626354,0.0878,0.0794,0.1319,-,-,-,-
,,03,04 Nov 2016,0.0413,0.9686637314,0.0875,0.0796,0.1293,-,-,-,-
,,04,07 Nov 2016,0.0768,0.9686698459,0.0903,0.0816,0.1271,-,-,-,-
,,07,08 Nov 2016,0.0550,0.9686713056,0.0882,0.0820,0.1258,-,-,-,-
,,08,09 Nov 2016,0.0802,0.9686734340,0.0869,0.0828,0.1246,-,-,-,-
,,09,10 Nov 2016,0.0833,0.9686756447,0.0857,0.0835,0.1234,-,-,-,-
,,10,11 Nov 2016,0.0815,0.9686778076,0.0857,0.0842,0.1231,-,-,-,-
,,11,14 Nov 2016,0.0384,0.9686808649,0.0808,0.0848,0.1224,-,-,-,-
,,14,15 Nov 2016,0.0969,0.9686834366,0.0812,0.0857,0.1224,-,-,-,-
,,15,16 Nov 2016,0.0761,0.9686854562,0.0809,0.0860,0.1223,-,-,-,-
,,16,17 Nov 2016,0.0781,0.9686875289,0.0807,0.0861,0.1223,-,-,-,-
,,17,18 Nov 2016,0.0494,0.9686888400,0.0814,0.0853,0.1221,-,-,-,-
,,18,21 Nov 2016,0.0495,0.9686927811,0.0818,0.0841,0.1204,-,-,-,-
,,21,22 Nov 2016,0.1094,0.9686956845,0.0801,0.0845,0.1202,-,-,-,-
,,22,23 Nov 2016,0.0849,0.9686979377,0.0777,0.0847,0.1199,-,-,-,-
,,23,24 Nov 2016,0.0742,0.9686999070,0.0749,0.0847,0.1188,-,-,-,-
,,24,25 Nov 2016,0.0700,0.9687017647,0.0712,0.0851,0.1180,-,-,-,-
,,25,28 Nov 2016,0.3243,0.9687275853,0.0956,0.0906,0.1188,-,-,-,-
,,28,29 Nov 2016,0.1918,0.9687326758,0.0986,0.0907,0.1186,-,-,-,-
,,29,30 Nov 2016,0.2422,0.9687391039,0.1034,0.0894,0.1187,-,-,-,-
,,30,01 Dec 2016,0.0649,0.9687408264,0.1033,0.0854,0.1165,-,-,-,-
,Dec,01,02 Dec 2016,0.0459,0.9687420446,0.1024,0.0849,0.1155,-,-,-,-
,,02,05 Dec 2016,0.0498,0.9687460098,0.1008,0.0838,0.1144,-,-,-,-
,,05,06 Dec 2016,0.0963,0.9687485657,0.1014,0.0840,0.1143,-,-,-,-
,,06,07 Dec 2016,0.1152,0.9687516233,0.1027,0.0847,0.1141,-,-,-,-
,,07,08 Dec 2016,0.0639,0.9687533192,0.1030,0.0851,0.1141,-,-,-,-
,,08,09 Dec 2016,0.1106,0.9687562547,0.1040,0.0861,0.1144,-,-,-,-
,,09,12 Dec 2016,0.1152,0.9687654273,0.1088,0.0890,0.1148,-,-,-,-
,,12,13 Dec 2016,0.1602,0.9687696793,0.1128,0.0904,0.1150,-,-,-,-
,,13,14 Dec 2016,0.3858,0.9687799191,0.1244,0.0942,0.1166,-,-,-,-
,,14,15 Dec 2016,0.3725,0.9687898059,0.1336,0.0975,0.1184,-,-,-,-
,,15,16 Dec 2016,0.3876,0.9688000937,0.1440,0.1014,0.1203,-,-,-,-
,,16,19 Dec 2016,0.2480,0.9688198413,0.1629,0.1080,0.1231,-,-,-,-
,,19,20 Dec 2016,0.3729,0.9688297392,0.1737,0.1115,0.1248,-,-,-,-
,,20,21 Dec 2016,0.2941,0.9688375455,0.1818,0.1143,0.1259,-,-,-,-
,,21,22 Dec 2016,0.2255,0.9688435311,0.1857,0.1163,0.1268,-,-,-,-
,,22,23 Dec 2016,0.1090,0.9688464244,0.1865,0.1169,0.1272,-,-,-,-
,,23,27 Dec 2016,0.2062,0.9688683176,0.1876,0.1235,0.1301,-,-,-,-
,,27,28 Dec 2016,0.2848,0.9688758775,0.1862,0.1258,0.1312,-,-,-,-
,,28,29 Dec 2016,0.4048,0.9688866227,0.1933,0.1288,0.1330,-,-,-,-
,,29,30 Dec 2016,0.4114,0.9688975432,0.1990,0.1313,0.1342,-,-,-,-
,,30,03 Jan 2017,0.4595,0.9689463332,0.2467,0.1458,0.1395,-,-,-,-


SORA Value Date,,,SORA Publication Date,SORA,SORA Index,Compound SORA - 1 month,Compound SORA - 3 month,Compound SORA - 6 month,Aggregate Volume of SORA Transactions (S$ MILLIONS),Highest Transacted Rate,Lowest Transacted Rate,SORA Calculation Method
2017,Jan,03,04 Jan 2017,0.2354,0.9689525822,0.2527,0.1478,0.1400,-,-,-,-
,,04,05 Jan 2017,0.1257,0.9689559192,0.2551,0.1488,0.1399,-,-,-,-
,,05,06 Jan 2017,0.1040,0.9689586800,0.2554,0.1494,0.1399,-,-,-,-
,,06,09 Jan 2017,0.1122,0.9689676157,0.2569,0.1498,0.1403,-,-,-,-
,,09,10 Jan 2017,0.0523,0.9689690041,0.2549,0.1490,0.1402,-,-,-,-
,,10,11 Jan 2017,0.0301,0.9689698032,0.2521,0.1485,0.1399,-,-,-,-
,,11,12 Jan 2017,0.0378,0.9689708066,0.2496,0.1476,0.1398,-,-,-,-
,,12,13 Jan 2017,0.0555,0.9689722800,0.2462,0.1470,0.1398,-,-,-,-
,,13,16 Jan 2017,0.1292,0.9689825697,0.2218,0.1490,0.1405,-,-,-,-
,,16,17 Jan 2017,0.1119,0.9689855404,0.2174,0.1493,0.1405,-,-,-,-
,,17,18 Jan 2017,0.1605,0.9689898012,0.2146,0.1507,0.1407,-,-,-,-
,,18,19 Jan 2017,0.1319,0.9689933029,0.2108,0.1518,0.1411,-,-,-,-
,,19,20 Jan 2017,0.0983,0.9689959125,0.2020,0.1523,0.1413,-,-,-,-
,,20,23 Jan 2017,0.0598,0.9690006752,0.1875,0.1502,0.1368,-,-,-,-
,,23,24 Jan 2017,0.0799,0.9690027964,0.1834,0.1493,0.1354,-,-,-,-
,,24,25 Jan 2017,0.0865,0.9690050928,0.1795,0.1482,0.1339,-,-,-,-
,,25,26 Jan 2017,0.0685,0.9690069113,0.1751,0.1480,0.1309,-,-,-,-
,,26,27 Jan 2017,0.1849,0.9690118201,0.1744,0.1493,0.1276,-,-,-,-
,,27,31 Jan 2017,0.5198,0.9690670192,0.1911,0.1681,0.1260,-,-,-,-
